N	Position	Begin			End			// Comment
//		"April"
0	???		21.04.2016 00:19	21.04.2016 12:12	// 2280 - 2305
1	down		21.04.2016 12:12	22.04.2016 13:31	// 2306 - 2363
2	up		22.04.2016 13:44	23.04.2016 12:20	// 2365 - 2388
3	down		23.04.2016 12:30	24.04.2016 11:54	// 2398 - 2445
4	mid		24.04.2016 11:59	25.04.2016 15:24	// 2449 - 2511
5	up		25.04.2016 15:27	26.04.2016 12:58	// 2514 - 2562
6	down		26.04.2016 13:04	27.04.2016 12:09	// 2564 - 2616
7	mid		27.04.2016 12:15	28.04.2016 17:30	// 2619 - 2685
8	up		28.04.2016 17:36	29.04.2016 12:00	// 2687 - 2730
9	down		29.04.2016 12:09	30.04.2016 11:57	// 2732 - 2788
10	mid		30.04.2016 12:07	01.05.2016 07:21	// 2791 - 2834
//		"May"
11	stuck		01.05.2016 07:30	16.05.2016 19:30	// 2837 - 3762
//		"June"
12	up		03.06.2016 ???		06.06.2016 14:55	// 4261 - 4400
13	down		06.06.2016 15:18	08.06.2016 15:03	// 4403 - 4439
14	up		08.06.2016 15:17	10.06.2016 11:01	// 4508 - 4601
15	down		10.06.2016 11:09	12.06.2016 16:18	// 4604 - 4643
16	up		12.06.2016 16:40	14.06.2016 18:35	// 4717 - 4824
17	down		14.06.2016 20:33	16.06.2016 15:04	// 4831 - 4872
18	up		16.06.2016 15:16	18.06.2016 17:05	// 4921 - 5023
19	down		18.06.2016 18:35	20.06.2016 20:04	// 5032 - 5137
20	up		20.06.2016 20:15	22.06.2016 15:17	// 5146 - 5233
21	down		22.06.2016 15:23	22.06.2016 22:27	// 5237 - 5245
22	down		22.06.2016 22:35	???
		"Fall"
23	unknown		30.09.2016 13:22	04.10.2016 13:50	// 5540 - 
24	mid		04.10.2016 14:00	07.10.2016 17:50	//
25	down		07.10.2016 18:00	10.10.2016 13:15	//
26	up		10.10.2016 13:25	12.10.2016 11:35	//
27	mid		12.10.2016 11:45	14.10.2016 18:05	//
28	down		14.10.2016 18:15	17.10.2016 12:35	//
29	up		17.10.2016 12:45	19.10.2016 14:20	//
30	mid		19.10.2016 14:30	21.10.2016 15:20	//
31	down		21.10.2016 15:30	24.10.2016 12:50	//
32	up		24.10.2016 13:00	26.10.2016 19:20	//
33	mid		26.10.2016 19:30	28.10.2016 14:53	//
34	down		28.10.2016 15:04	31.10.2016 13:26	//
35	up		31.10.2016 13:27	02.11.2016 12:39	//
36	mid		02.11.2016 13:23	04.11.2016 14:25	//
37	down		04.11.2016 14:41	07.11.2016 14:12	//
38	up		07.11.2016 14:29	09.11.2016 11:55	//
39	mid		09.11.2016 12:06	11.11.2016 19:02	//
40	down		11.11.2016 19:18	14.11.2016 14:28	//
41	up		14.11.2016 14:47	16.11.2016 12:59	//
42	mid		16.11.2016 ??:??	18.11.2016 ??:??	//
43	down		18.11.2016 17:09	21.11.2016 15:11	//
44	up		21.11.2016 15:27	23.11.2016 13:16	//
45	mid		23.11.2016 14:03	25.11.2016 17:43	//
46	down		25.11.2016 18:35	28.11.2016 13:46	//
47	up		28.11.2016 14:05	29.11.2016 14:39	//
48	mid		29.11.2016 15:25	30.11.2016 11:17	//
49	mid		30.11.2016 16:43	02.12.2016 19:46	//
50	down		02.12.2016 19:58	05.12.2016 14:15	//
51	up		05.12.2016 14:30	07.12.2016 10:51	//
52	mid		07.12.2016 11:27	09.12.2016 17:37	//
53	down		09.12.2016 17:49	12.12.2016 15:01	//
54	up		12.12.2016 15:49	14.12.2016 11:10	//
55	mid		14.12.2016 11:39	16.12.2016 17:17	//
56	down		16.12.2016 17:22	19.12.2016 14:38	//
57	up		19.12.2016 15:01	21.12.2016 13:07	//
58	mid		21.12.2016 13:34	23.12.2016 17:15	//
59	down		23.12.2016 17:21	24.12.2016 13:40	//
60	down		24.12.2016 14:40	26.12.2016 13:10	//
61	up		26.12.2016 13:??	28.12.2016 ??:??	//
62	mid		28.12.2016 ??:??	30.12.2016 13:40	//
63	down		30.12.2016 14:10	31.12.2016 03:10	//
64	down		31.12.2016 07:40	02.01.2017 03:10	//
65	down		02.01.2017 06:10	03.01.2017 06:40	//
66	down		03.01.2017 17:10	04.01.2017 12:20	//
67	up		04.01.2017 12:30	11.01.2017 ??:??	//
